 "Ferrero,nutella";"Nutella";"NaN";"Produits à tartiner sucrés";"None";"e";"Bi1,Magasins U";"Sucre, huile de palme, noisettes 13%, cacao maigre 7,4%, lait écrémé en poudre 6,6%, lactoserum en poudre, émulsifiants : lécithines [soja], vanilline."
 "Andros";"Confiture Allégée Fraises";"NaN";"Produits à tartiner sucrés";"None";"c";"Magasins U,Bi1";"fraises, sucre, gélifiant : pectine de fruits."
 "Bonne Maman";"Confiture fraise Intense";"NaN";"Produits à tartiner sucrés";"None";"c";"Intermarché, Magasins U";"Fraises, sucre, jus de cassis, jus de citrons concentré, gélifiant : pectine de fruits"
 "Materne";"Confipote Fraise";"NaN";"Produits à tartiner sucrés";"None";"c";"Auchan,Carrefour,Magasins U";"fraises 68,5%, sucre, gélifiant: pectine de fruit, acidifiant: acide citrique, correcteur d'acidité: citrate de calcium."
 "Bonne Maman";"Bonne maman abricot intense confiture moins sucree";"NaN";"Produits à tartiner sucrés";"None";"c";"Carrefour, Magasins U";"Abricots, sucre, jus de citrons concentré, gélifiant : pectine de fruits. Préparée avec 64 g de fruits pour 100 g. Peut contenir des noyaux."
 "Bonne Maman";"Bonne maman abricot intense confiture moins sucree";"NaN";"Produits à tartiner sucrés";"None";"c";"Carrefour, Magasins U";"Abricots, sucre, jus de citrons concentré, gélifiant : pectine de fruits. Préparée avec 64 g de fruits pour 100 g. Peut contenir des noyaux."
 "Milka";"Patamilka";"NaN";"Produits à tartiner sucrés";"None";"e";"";"Sucre, huile de coton (20 %), lactosérum en poudre (de lait), cacao maigre en poudre (6,5 %), noisettes (4%), huile de palme (3,5%), lait écrémé en poudre, émulsifiant (lécithines de soja), sel, arômes."
 "Bonne Maman";"Confiture Fraises";"NaN";"Produits à tartiner sucrés";"None";"d";"Carrefour,Magasins U";"Fraises, sucre, sucre roux de canne, jus de citrons concentré et, éventuellement, gélifiant : pectine de fruits, si les fraises n'en contenaient pas suffisamment."
 "Jardin Bio,Léa Nature";"Chocolat noisette";"NaN";"Produits à tartiner sucrés";"None";"d";"Leclerc,Magasins U,Carrefour,biomonde";"sucre de canne*, huile de tournesol*, chocolat* 16,5% (sucre de canne*, poudre de cacao maigre*, beurre de cacao*), purée de _noisettes_* 10%, poudre de _lait_ écrémé*, farine de _soja_*, émulsifiant : lécithines (_soja_), extrait de vanille Bourbon*.
*Produits issus de l'agriculture biologique."
 "Rigoni di Asiago";"Nocciolata sans lait";"NaN";"Produits à tartiner sucrés";"None";"d";"Auchan,Magasins U";"sucre de Cannes&quot;, pate de noisettes* 19,5% huile de tournesol&quot;, cacao maigre en poudre* 11%, beurre de cacao&quot;, émulsifiant: lécithine de soja&quot;; extrait de vanille&quot;. &quot;Biologique. Peut contenir d'autres fruits à coque (amandes noix, pistaches) Consenver à températue ambiante. Produit par Rigoni di Asiago S.r.l. via Oberdan, 28 - 36012 Asiago (V) Itale. LIsnbué par Rigoeni di Ccago Prance-13008 Marseile CERTIFICATION EUROPE ITALIA Vegan contrôlé par. 270ge NE PAS JETER DANS LÅ NATURE"
 "Carrefour Bio,Carrefour";"Pâte à tartiner";"NaN";"Produits à tartiner sucrés";"None";"d";"Carrefour";"Sucre de canne*, _noisettes_* 16%, huile de tournesol*, _lait_ écrémé en poudre*, cacao maigre en poudre* 8%, beurre de cacao*, émulsifiant : lécithines* (tournesol), arôme naturel de vanille*.
Peut contenir des traces de soja et d'autres fruits à coque.
*biologique."
 "Lucien Georgelin";"Pâte à tartiner noisette bio";"NaN";"Produits à tartiner sucrés";"None";"e";"";"Sucre*, _noisette_* 16%, poudre de _lait_ écrémé*, huile de coco*, poudre de cacao maigre* 7%, huile de tournesol*, émulsifiant : lécithine de tournesol. *Ingrédients issus de l'agriculture biologique"
 "Andros";"Confiture Allégée Abricots";"NaN";"Produits à tartiner sucrés";"None";"c";"Carrefour,Magasins U";"Abricots, sucre, gélifiant : pectine de fruits"
 "Andros";"Confiture Allégée Abricots";"NaN";"Produits à tartiner sucrés";"None";"c";"Carrefour,Magasins U";"Abricots, sucre, gélifiant : pectine de fruits"
 "Lucien Georgelin";"Pâte à tartiner Bio";"NaN";"Produits à tartiner sucrés";"None";"e";"";"Sucre, _noisette_ 16%, huile de colza, poudre de _lait_, poudre de cacao 7%, huile de coco, émulsifiant : lécithine de tournesol, vanille."
 "Bonne Maman";"Bonne maman framboise intense";"NaN";"Produits à tartiner sucrés";"None";"c";"Leclerc,Carrefour, Magasins U";"Framboises, sucre, jus de citrons concentré, gélifiant : pectine de fruits."
 "Ivoria";"Pâte à tartiner";"NaN";"Produits à tartiner sucrés";"None";"e";"Intermarché";"Sucre,huile de tournesol,noisettes (13%),cacao maigre en poudre(7,4%),poudre de lait écrémé,beurre de cacao,huile de noix de coco,lactoserum en poudre,lécithine de tournesol,arôme"
 "Bonne Maman";"Confiture fruits rouges intenses";"NaN";"Produits à tartiner sucrés";"None";"c";"Super U, Magasins U";"Fruits rouges (fraises 22%, cerises 17%, framboises 14%, groseilles 5%, cassis 2%), sucre, jus de citrons concentré, gélifiant : pectine de fruits."
 "Ovomaltine";"Crunchy";"NaN";"Produits à tartiner sucrés";"None";"e";"Leclerc,Magasins U, Delhaize";"Pépites croustillantes à l'extrait de malt d'orge et de cacao Ovomaltine 33% (extrait de malt d'orge (51%), lait écrémé concentré, lactosérum concentré (lait), cacao maigre (13%), sucre, fructose, carbonate de magnésium, phosphate de calcium, huile de colza, vitamines (A, E, C, thiamine (vitamine BI), riboflavine (vitamine B2), niacine (vitamine PP), B6, acide folique (vitamine B9), B12, biotine (vitamine B8), acide pantothénique (vitamine B5)), sel, arôme : vanille), sucre, huiles végétales (colza et palme), noisettes, phosphate de calcium, émulsifiant : lécithine de tournesol (cacao maigre (0,4%), antioxydants : palmitate d'ascorbyle et alpha-tocophérol, arôme : vanilline."
 "Banania";"Pâte à tartiner Banania";"NaN";"Produits à tartiner sucrés";"None";"e";"Magasins U";"Matières grasses végétales (huile de tournesol, beurre de cacao et huile de cacao), poudre de banania 25% (sucre, cacao fortement dégraissé 19%,céréales biscuitées 12%(farine de froment, d'orge, de blé malté), sucre, lait écrémé en poudre, lactose, flocons de banane 2,4%, émulsifiant : lécithine de tournesol, arôme, contiennent du gluten et du lait."
 "Nutella,Ferrero";"Nutella";"NaN";"Produits à tartiner sucrés";"None";"e";"Irma.dk,Cora,Ica";"Sucre, graisse végétale (palme), _noisettes_ 13%, cacao maigre 7,4%, lait écrémé en poudre 6,6%, lactosérum en poudre (_lait_), émulsifiant : (lécithine (_soja_))(0,48% )(sin 322) arôme (0,02%)"
 "Poulain";"Pâte à tartiner";"NaN";"Produits à tartiner sucrés";"None";"d";"";"Sucre, huile de tournesol, noisettes (13 %), cacao maigre en poudre (7 %), lait écrémé en poudre, lactosérum (de lait) en poudre, lactose (de lait), beurre de cacao, émulsifiant (lécithine de tournesol), arôme naturel de vanille. Peut contenir soja et autres fruits à coque."
 "Materne";"Confipote l'abricot";"NaN";"Produits à tartiner sucrés";"None";"c";"Carrefour,Magasins U,Centre commercial,Houra,Monoprix";"abricots 67,1%, sucre, gélifiant: pectine de fruit, correcteur d'acidité: citrate de calcium. Peut contenir des morceaux de noyaux."
 "Bonne Maman,Bonne Maman Myrtille intense";"Confiture Myrtille Intense";"NaN";"Produits à tartiner sucrés";"None";"c";"Magasins U,intermarché";"myrtilles, sucre, jus de citrons concentré gélifiant: pectine de fruits"
 "Jardin Bio,Léa Nature";"Pâte à tartiner Noir";"NaN";"Produits à tartiner sucrés";"None";"d";"";"Sucre de canne brut, huile de tournesol, poudre de cacao maigre 30 %, émulsifiant : lécithines (_soja_), extrait de vanille Bourbon."
 "Ivoria";"Pate à tartiner bio";"NaN";"Produits à tartiner sucrés";"None";"e";"Intermarché";"Sucre de canne, huiles végétales (huile de palme, huile de tournesol), _noisettes_ 14%, _lait_ écrémé en poudre, cacao maigre en poudre 8%,  émulsifiant : lécithine de tournesol, vanille en poudre."
 "Carrefour";"Pâte a tartiner";"NaN";"Produits à tartiner sucrés";"None";"d";"Carrefour";"Sucre, huile de colza, noisette 13%, cacco maigre en poudre, lait entier en poudre, beurre de cacao, lactosérium en poudre, émulsifiant : lécithines de tournesol )"
 "U";"Pâte à tartiner sans huile de palme";"NaN";"Produits à tartiner sucrés";"None";"d";"Super U,Magasins U";"Sucre, huile de colza, NOISETTES 13%, cacao maigre, LAIT entier en poudre, beurre de cacao, LACTOSERUM en poudre, émulsifiant : lécithines de tournesol, arôme.
Traces éventuelles d'arachides, de céréales contenant du gluten, de soja et autres fruits à coque."
 "Bonne Maman";"Confiture Extra Fraises";"NaN";"Produits à tartiner sucrés";"None";"d";"Monoprix";"fraises, sucre, sucre roux de canne, jus de citrons concentré, gélifiant (pectine de fruits)"
 "Bio Village,Marque Repère";"Pâte à tartiner bio";"NaN";"Produits à tartiner sucrés";"None";"d";"Leclerc";"sucre de canne*, huile de tournesol*, noisettes* 13%, cacao maigre en poudre* 7,5%, poudre de lait écrémé*, huile de karité, émulsifiant: lécithines* (tournesol).  Traces d'amandes et d'autres fruits à coque. *Ingrédients issus de l'agriculture biologique."
 "Materne";"Confipote Framboise";"NaN";"Produits à tartiner sucrés";"None";"c";"Leclerc, Magasins U";"Framboises 65%, sucre, gélifiant : pectine de fruits, acidifiant : acide citrique, correcteur d'acidité : citrate de calcium."
 "Karéléa,Léa Nature";"Pâte à tartiner Karéléa";"NaN";"Produits à tartiner sucrés";"None";"d";"Cora,Magasins U";"Édulcorant : Maltitols; huile de tournesol; _noisettes_ (10%) ; cacao maigre en poudre (6,5%) ; lactosérum en poudre (_lait_) ; poudre de _lait_ écrémé ; matières grasses végétales (beurre de cacao, matière grasse de coco) ; émulsifiant : lécithines ; arôme naturel de vanille."
 "U Bio, U";"Pâte à tartiner aux noisettes sans huile de palme";"NaN";"Produits à tartiner sucrés";"None";"d";"Super U,Magasins U";"Sucre *, NOISETTES* 16%, huile de tournesol, LAIT écrémé en poudre*, cacao maigre en poudre* 8%, beurre de cacao, émulsifiant: lécithine de tournesol, arôme naturel de vanille*. Traces éventuelles d'autres fruits à coque et de soja. * Ingrédient issus de l'Agriculture biologique."
 "Lucien Georgelin";"Pâte à tartiner";"NaN";"Produits à tartiner sucrés";"None";"e";"";"Sucre, _noisette_ du Lot et Garonne 16 %, poudre de _lait_, huile de coco, poudre de cacao 7 %, huile de colza, émulsifiant : lécithine de tournesol, arôme : vanille."
 "Gerblé";"Fraise à tartiner sans sucres ajoutés";"NaN";"Produits à tartiner sucrés";"None";"a";"Magasins U";"Fraises (42 %), eau, fibres : dextrine de _blé_, édulcorant : maltitols, jus de cerise, jus concentré d'aronia, gélifiant : pectines, acidifiant : acide citrique, correcteur d'acidité : citrates de calcium, conservateur : sorbate de potassium, édulcorant : sucralose."
 "Gavottes";"Gavottes pâte croustillante aux éclats de Crêpe Dentelle";"NaN";"Produits à tartiner sucrés";"None";"e";"Super U,Magasins U";"Sucre, huiles végétales (colza, karité, noix de coco), éclats de crêpe dentelle 10% (farine de _blé_, sucre, beurre pâtissier (_lait_), _lactose_ et protéines de _lait_, sel, extrait de malte d'_orge_, poudre à lever: carbonates de sodium, lécithines (_soja_)), cacao maigre, lactosérum en poudre (_lait_), _lait_ écrémé en poudre, _noisettes_, émulsifiant: lécithines (tournesol), arôme naturel de vanille."
 "Lucien Georgelin";"Pâte à tartiner";"NaN";"Produits à tartiner sucrés";"None";"e";"Leclerc,Carrefour";"Sucre,, _noisette_ du Lot et Garonne 16%, huile de colza,  poudre de _lait_, poudre de cacao 7%, huile de coco, émulsifiant : lécithine de tournesol, arôme : vanille."
 "Ferrero";"Nutella";"NaN";"Produits à tartiner sucrés";"None";"e";"";"sucre, huile de palme, NOISETTES 13% LAIT écrémé en poudre 8,7%, cacao maigre 7,4%, émulsifiants: lécithines [SOJAI"
 "Nutella,Ferrero";"Nutella";"NaN";"Produits à tartiner sucrés";"None";"e";"Auchan,ΑΒ Βασιλόπουλος";"Sucre, huile de palme, _noisettes_ 13%, cacao maigre 7.4%, _lait_ écrémé en poudre 6.6%, _lactosérum_ en poudre, émulsifiant (lécithine de _soja_), vanilline."
 "Lucien Georgelin";"Confiture de fraises";"NaN";"Produits à tartiner sucrés";"None";"c";"Carrefour,Leclerc, Magasins U";"fraises 45%, sucre, pommes 15%, gélifiant : pectines, jus de citron concentré."
 "Bonne Maman";"Confiture Abricots";"NaN";"Produits à tartiner sucrés";"None";"d";"Super U, Magasins U";"abricots, sucre, sucre roux de canne, jus de citron concentré et, éventuellement, gélifiant : pectine de fruits, si les abricots n'en contenaient pas."
 "Maribel,Biotrend";"Confiture extra fraise bio";"NaN";"Produits à tartiner sucrés";"None";"d";"Lidl";"Sucre, fraises, gélifiant: pectine, acidifiant: acide citrique"
 "Douceur du Verger,Marque Repère";"Confiture allégée fraise";"NaN";"Produits à tartiner sucrés";"None";"c";"Leclerc";"Fraises, sucre, eau, gélifiant : pectines, correcteur d'acidité : acide citrique.
Préparée avec 50g de fruits pour 100g."
 "Bonne Maman";"Confiture Bonne Maman Myrtilles Sauvages";"NaN";"Produits à tartiner sucrés";"None";"d";"Auchan,Carrefour,Leclerc";"Myrtilles sauvages, sucre, sucre roux de canne, jus de citrons concentré et, éventuellement, gélifiant: pectine de fruits."
 "Andros";"Confiture myrtilles";"NaN";"Produits à tartiner sucrés";"None";"c";"Magasins U";"myrtilles, sucre, gélifiant : pectine de fruits"
 "Jean Hervé";"Purée cacahuète";"NaN";"Produits à tartiner sucrés";"None";"b";"Biocoop,Bio14,Biotope";"cacahuètes* - * issu de l'agriculture biologique"
 "Bonne Maman";"Confiture quatre fruits";"NaN";"Produits à tartiner sucrés";"None";"c";"Super U,Carrefour";"Fruits (fraises 20 %, cerises 15 %, groseilles 12 %, cassis 3 %), sucre, sucre roux de canne, jus de citrons concentré et, éventuellement, gélifiant : pectine de fruits, si les fruits n'en contenaient pas suffisamment."
 "Bonne Maman";"Confiture Fraises et Fraises des bois";"NaN";"Produits à tartiner sucrés";"None";"d";"Intermaché, Magasins U";"Fruits (fraise 40 %, fraises des bois 10 %), sucre, sucre roux de canne, jus de citrons concentré et,éventuellement, gélifiant : pectine de fruits."
 "Andros";"Bio - Confiture fraises";"NaN";"Produits à tartiner sucrés";"None";"c";"";"Sucre de canne*, fraises*, jus de citrons concentré*, gélifiant : pectines de fruits."
 "Maribel";"Confiture d'abricots";"NaN";"Produits à tartiner sucrés";"None";"d";"Lidl";"abricots, sucre, sirop de glucose-fructose, gélifiant : pectines, acidifiant : acide citrique."
 "Ferrero,Nutella";"Nutella";"NaN";"Produits à tartiner sucrés";"None";"e";"Delhaize";"NaN"
 "Lucien georgelin";"Pâte à tartiner, Noisette Cacao";"NaN";"Produits à tartiner sucrés";"None";"e";"Leclerc";"Sucre, _noisette_ du Lot et Garonne 16%, poudre de _lait_, huile de coco, poudre de cacao 7%, huile de colza, émulsifiant : lécithine de tournesol, arôme : vanille"
 "Choco Nussa";"Choco nussa";"NaN";"Produits à tartiner sucrés";"None";"d";"LIDL";"Sucre, huile végétale, _noisettes_ (13 %), _lait_ écrémé en poudre, cacao maigre en poudre (7 %), _lactose_, émulsifiant : lécithine de tournesol, arômes."
 "Maribel";"Confiture myrtilles";"NaN";"Produits à tartiner sucrés";"None";"d";"Lidl";"Myrtilles, sucre, sirop de glucose-fructose, gélifiant : pectine; acidifiant : acide citrique."
 "Bio Village,Marque Repère";"Confiture extra fraise bio";"NaN";"Produits à tartiner sucrés";"None";"d";"E. Leclerc, Leclerc";"Sucre de canne* 55 %, fraises*, acidifiant : acide citrique, gélifiant : pectines.
Préparée avec 55g de fruits pour 100g de produit fini.
* Ingrédients issus de l'agriculture biologique."
 "Bio Village,Marque Repère";"Confiture extra fraise bio";"NaN";"Produits à tartiner sucrés";"None";"d";"E. Leclerc, Leclerc";"Sucre de canne* 55 %, fraises*, acidifiant : acide citrique, gélifiant : pectines.
Préparée avec 55g de fruits pour 100g de produit fini.
* Ingrédients issus de l'agriculture biologique."
 "Bio Village,Marque Repère";"Confiture extra fraise bio";"NaN";"Produits à tartiner sucrés";"None";"d";"E. Leclerc, Leclerc";"Sucre de canne* 55 %, fraises*, acidifiant : acide citrique, gélifiant : pectines.
Préparée avec 55g de fruits pour 100g de produit fini.
* Ingrédients issus de l'agriculture biologique."
 "Rigoni Di Asiago";"Nocciolata";"NaN";"Produits à tartiner sucrés";"None";"d";"Migros,satoriz";"sucre de canne&quot;, pâte de noisettes 18,5% huile de tournesol, lait écrémé en poudre&quot;, cacao maigre en poudre 6,5% beurre de cacao, émulsifiant lecithine de soja extrait de vanille Biologique. Peut contenir d'autres fruits à coque (amandes, noix pistaches"
 "Materne";"Confipote Myrtille";"NaN";"Produits à tartiner sucrés";"None";"c";"Carrefour,Magasins U";"myrtilles 65,3%, sucre, gélifiant: pectine de fruit, acidifiant: acide citrique , correcteur d'adidité: citrate de calcium."
 "Materne";"Confipote Myrtille";"NaN";"Produits à tartiner sucrés";"None";"c";"Carrefour,Magasins U";"myrtilles 65,3%, sucre, gélifiant: pectine de fruit, acidifiant: acide citrique , correcteur d'adidité: citrate de calcium."
 "Ferrero,Nutella";"Nutella";"NaN";"Produits à tartiner sucrés";"None";"e";"";"Sucre, huile de palme, noisettes 13%, cacao maigre 7,4%, lait écrémé en poudre 6,6%, lactoserum en poudre, émulsifiants : lécithines [soja], vanilline."
 "Bonne Maman";"Groseilles";"NaN";"Produits à tartiner sucrés";"None";"d";"Carrefour, Magasins U";"Jus de groseilles, sucre, sucre roux de canne, jus de citrons concentré et, éventuellement, gélifiant : pectine de fruits"
 "Bonne Maman";"Groseilles";"NaN";"Produits à tartiner sucrés";"None";"d";"Carrefour, Magasins U";"Jus de groseilles, sucre, sucre roux de canne, jus de citrons concentré et, éventuellement, gélifiant : pectine de fruits"
 "Bonne maman";"Confiture fraise et framboise intense";"NaN";"Produits à tartiner sucrés";"None";"c";"";"Fraises 39% framboises 21% , sucre, jus de citrons concentré gélifiant : pectines de fruits"
 "Simplement Bon Et Bio";"Pâte à tartiner";"NaN";"Produits à tartiner sucrés";"None";"e";"aldi";"sucre*, _noisette_* 16%, poudre de _lait_ écrémé*, huile de coco*, poudre de cacao maigre* 7%, huile de tournesol*, lécithine de tournesol, arôme : vanille
*ingrédients issus agriculture biologique"
 "Casino";"Je suis noisette la première pâte à tartiner sans huile de palme";"NaN";"Produits à tartiner sucrés";"None";"d";"Casino";"Sucre - huile de tournesol - _noisettes_ 13% - cacao maigre en poudre 7,4% - poudre de _lait_ écrémé - beurre de cacao - huile de coco - _lactosérum_ en poudre - émulsifiant : lécithines de tournesol - arôme. traces d'_amandes._"
 "Carrefour";"Confiture de fraises";"NaN";"Produits à tartiner sucrés";"None";"c";"Carrefour";"Fraises, sucre, eau, gélifiant : pectines de fruits, acidifiants : acide citrique et lactate de calcium."
 "Bonne maman";"Oranges Amères";"NaN";"Produits à tartiner sucrés";"None";"d";"Carrefour, Magasins U";"Sucre, oranges amères, sucre roux de canne, jus de citrons concentré et éventuellement gélifiant : pectine de fruits. Les écorces sont coupées en lamelles"
 "Mamie Douceur, Marque Repère";"Confiture extra de fraise";"NaN";"Produits à tartiner sucrés";"None";"d";"Leclerc";"Sucre, fraises, acidifiant: acide citrique, gélifiant: pectines.
Préparée avec 50 g de fruits pour 100 g de produit fini."
 "Nustikao,Marque Repère";"Pâte à tartiner";"NaN";"Produits à tartiner sucrés";"None";"e";"Leclerc";"Sucre, huiles végétales (palme, colza), noisettes 13 %, cacao maigre en poudre 7 %, lait en poudre écrémé 5,5 %, lactosérum en poudre, lactose, émulsifiant : lécithines (tournesol), arôme naturel de vanille. Traces de soja"
 "Ferrero, Nutella";"Nutella";"NaN";"Produits à tartiner sucrés";"None";"e";"";"Sucre, huile de palme, noisettes 13%, cacao maigre 7,4%, lait écrémé en poudre 6,6%, lactoserum en poudre, émulsifiants : lécithines [soja], vanilline."
 "Maribel";"Confiture extra Framboise Bio";"NaN";"Produits à tartiner sucrés";"None";"c";"LIDL";"Sucre, framboises, gélifiant : pectines, acidifiant : acide citrique."
 "Rigoni di Asiago";"Nocciolata bianca";"NaN";"Produits à tartiner sucrés";"None";"d";"";"pâte de noisettes 30%, sucre de canne, lait écrémé en poudre, huile de tournesol*, inuline*, beurre de cacao, émulsifiant: lécithine de tournesol; extrait de vanille"
 "Gerblé";"Glucoregul myrtille";"NaN";"Produits à tartiner sucrés";"None";"a";"Carrefour, Magasins U";"Myrtilles (50 %), eau, fibres : dextrine de _blé_, édulcorant : maltitols, gélifiant : pectines, acidifiant : acide citrique, correcteur d'acidité : citrates de calcium, conservateur : sorbate de potassium, édulcorant : sucralose."
 "Lucien Georgelin";"Abricot cuit au chaudron";"NaN";"Produits à tartiner sucrés";"None";"c";"Carrefour, Magasins U";"Abricots 45%, sucre, pommes 15%, gélifiant : pectines."
 "Carrefour,CMI (Carrefour Marchandises Internationales),Groupe Carrefour";"Confiture Fraise";"NaN";"Produits à tartiner sucrés";"None";"d";"Carrefour,Carrefour market";"Fraises, sucre, sucre de canne, gélifiant : pectines de fruits, acidifiant : acide citrique.
Préparée avec 50 g de fruits pour 100 g de produit fini.
Teneur totale en sucres 60 g pour 100 g de produit fini."
 "Jardin Bio";"Pâte à Tartiner Choco Noisettes";"NaN";"Produits à tartiner sucrés";"None";"d";"";"Sucre de canne*, huile de tournesol*, chocolat* 18 % (sucre de canne* , poudre de cacao maigre*, beurre de cacao*), purée de _noisettes_* 10 %, farine de _soja_* émulsifiant: lécithines* (soja), extrait de vanille*. *Issus de l'agriculture biologique."
 "Bonne Maman";"Confiture Cerises Griottes";"NaN";"Produits à tartiner sucrés";"None";"c";"Carrefour, Magasins U";"Cerises griottes, sucre, sucre roux de canne, jus de citrons concentré et, éventuellement, gélifiant : pectine de fruits"
 "Carrefour";"Confiture de Myrtilles";"NaN";"Produits à tartiner sucrés";"None";"c";"Carrefour";"Sucre de canne, myrtilles bio, gélifiant : pectine de fruits, acidifiant : acide citrique"
 "Marque Repère,Leclerc, Nustikao";"Pâte à tartiner";"NaN";"Produits à tartiner sucrés";"None";"e";"Leclerc";"Sucre ; huiles végétales (palme, colza) ; noisettes 13 % ; cacao maigre en poudre 7 % ; lait en poudre écrémé 5,5 % ;  lactosérum en poudre ; lactose ; émulsifiant : lécithines (tournesol) ; arôme naturel de vanille.
Traces de soja."
 "Tartichoc";"Pâte à tartiner aux noisettes";"NaN";"Produits à tartiner sucrés";"None";"d";"Aldi";"Sucre, huiles végétales (palme, colza), _noisettes_ (13%), _lait_ écrémé en poudre (7,6%), cacao fortement dégraissé en poudre (7,4%), _lactose_, émulsifiant : lécithines de tournesol, arômes,"
 "Gerblé";"Glucoregul abricot";"NaN";"Produits à tartiner sucrés";"None";"a";"Carrefour, Magasins U";"Abricots (50 %), eau, fibres, dextrine de _blé_, édulcorant : maltitols, gélifiant : pectines, acidifiant : acide citrique, correcteur d'acidité : citrates de calcium, antioxydant : acide ascorbique, conservateur : sorbate de potassium, édulcorant : sucralose."
 "Bonne Maman";"Cerise intense";"NaN";"Produits à tartiner sucrés";"None";"c";"Carrefour, Magasins U";"cerises, sucre, jus de citrons concentré, gélifiant: pectine de fruits."
 "Nutella,Ferrero";"Nutella";"NaN";"Produits à tartiner sucrés";"None";"e";"Carrefour,Morrisons,Carrefour market";"sugar, vegetable oil, hazelnuts (13%), fat-reduced cocoa (7,4%), skimmed milk powder (6,6%), whey powder, emulsifier: lecithin (soya), vanillin"
 "Maribel";"Quatre fruits";"NaN";"Produits à tartiner sucrés";"None";"d";"Lidl";"Sucre, fruits (griottes 19 %, fraises 16 %, groseilles 8 %, framboises 7 %), gélifiant : pectine, acidifiant : acide citrique. Préparée avec 50 g de fruits pour 100 g. Teneur totale en sucres : 60 g pour 100 g."
 "Carrefour Bio,Carrefour";"Confiture de framboises Bio";"NaN";"Produits à tartiner sucrés";"None";"c";"Carrefour";"Sucre de canne bio, framboises bio, acidifiant : acide citrique, gélifiant : pectine de fruits. Préparée avec 50 g de fruits pour 100 g de produit fini."
 "Andros";"Confiture Allégée Pêches";"NaN";"Produits à tartiner sucrés";"None";"c";"Magasins U";"Pêches, sucre, gélifiant : pectines de fruits, acidifiant : acide citrique, correcteur d'acidité : citrate tricalcique."
 "Carrefour Bio,Carrefour";"Sirop d'agave";"NaN";"Produits à tartiner sucrés";"None";"d";"Carrefour";"Sirop d'agave concentré issu de l'agriculture biologique."
